jobTitle,categoriesName,locations,employment,salaryMin,salaryMax,salary_mid,main_category,main_location,salaryMin_scaled,salaryMax_scaled,salary_mid_scaled
Tax Senior Staff,"Akuntansi / Keuangan,Audit Pajak",Jakarta Pusat,Full-time,6000000.0,8000000.0,7000000.0,Akuntansi / Keuangan,Jakarta Pusat,0.10526315789473684,0.1231732776617954,0.11525029103608847
Data Analyst,"Penjualan / Pemasaran,Penjualan Ritel",Jakarta Pusat,Full-time,5000000.0,6500000.0,5750000.0,Penjualan / Pemasaran,Jakarta Pusat,0.07894736842105263,0.09185803757828809,0.0861466821885914
Research Development,"Sains,Teknologi Makanan/Ahli Gizi",Cikarang,Full-time,5500000.0,7700000.0,6600000.0,Sains,Cikarang,0.09210526315789475,0.11691022964509395,0.1059371362048894
Key Account,"Penjualan / Pemasaran,Telesales/Telemarketing",Jawa Barat,Full-time,10000000.0,12000000.0,11000000.0,Penjualan / Pemasaran,Jawa Barat,0.21052631578947367,0.2066805845511482,0.20838183934807913
Production Manager,"Manufaktur,Manufaktur","Cikarang,Jakarta Raya",Full-time,16000000.0,22400000.0,19200000.0,Manufaktur,Cikarang,0.368421052631579,0.4237995824634656,0.39930151338766007
"Bancassurance Life Consultant - KUDUS, MAGELANG SALATIGA","Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Magelang,Salatiga,Kudus",Full-time,3000000.0,6000000.0,4500000.0,Penjualan / Pemasaran,Magelang,0.026315789473684202,0.08141962421711899,0.057043073341094284
Teller,"Akuntansi / Keuangan,Perbankan / Jasa Finansial",Depok,Full-time,4000000.0,4200000.0,4100000.0,Akuntansi / Keuangan,Depok,0.052631578947368425,0.04384133611691023,0.047729918509895226
Cook,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Jakarta Utara,Full-time,2500000.0,4250000.0,3375000.0,Hotel/Restoran,Jakarta Utara,0.013157894736842098,0.04488517745302715,0.030849825378346914
Business Development,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Banten,Full-time,6000000.0,6500000.0,6250000.0,Penjualan / Pemasaran,Banten,0.10526315789473684,0.09185803757828809,0.09778812572759021
Marketing Online Shop,"Penjualan / Pemasaran,E-commerce",Jakarta Barat,Full-time,2000000.0,3500000.0,2750000.0,Penjualan / Pemasaran,Jakarta Barat,0.0,0.029227557411273482,0.016298020954598362
"Mechanic Repair Heavy Machinery ( Penempatan Morowali dan Pulau Weda, Halmahera ) )","Teknik,Mekanikal","Sulawesi Tengah,Jakarta Raya,Manado,Halmahera",Full-time,5000000.0,10000000.0,7500000.0,Teknik,Sulawesi Tengah,0.07894736842105263,0.16492693110647183,0.12689173457508732
Staff Accounting / Finance,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Jepara,Full-time,2300000.0,3750000.0,3025000.0,Akuntansi / Keuangan,Jepara,0.00789473684210526,0.03444676409185803,0.02270081490104773
Area Business Development - Sumatera Barat - Riau,"Penjualan / Pemasaran,Penjualan Ritel","Padang,Bukittinggi,Dumai,Pekanbaru,Bintan,Batam",Full-time,6000000.0,10000000.0,8000000.0,Penjualan / Pemasaran,Padang,0.10526315789473684,0.16492693110647183,0.13853317811408614
Area Business Development Associate - Pantai Barat (Sibolga - Padang Sidempuan),"Penjualan / Pemasaran,Penjualan Ritel","Sibolga,Padang Sidempuan",Full-time,6000000.0,10000000.0,8000000.0,Penjualan / Pemasaran,Sibolga,0.10526315789473684,0.16492693110647183,0.13853317811408614
Sales Manager,"Penjualan / Pemasaran,Penjualan - Korporasi","Jakarta Raya,Banten",Full-time,10000000.0,15000000.0,12500000.0,Penjualan / Pemasaran,Jakarta Raya,0.21052631578947367,0.26931106471816285,0.24330616996507565
Software Engineer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Tangerang,Full-time,8000000.0,10000000.0,9000000.0,Komputer/Teknologi Informasi,Tangerang,0.15789473684210528,0.16492693110647183,0.1618160651920838
Customer Success Full-Time,"Pelayanan,Layanan Pelanggan",Jakarta Barat,Full-time,4000000.0,4500000.0,4250000.0,Pelayanan,Jakarta Barat,0.052631578947368425,0.0501043841336117,0.051222351571594875
DESIGN GRAPHIC,"Seni/Media/Komunikasi,Periklanan",Bandung,Full-time,2000000.0,2500000.0,2250000.0,Seni/Media/Komunikasi,Bandung,0.0,0.008350730688935284,0.004656577415599529
Teknisi,"Teknik,Teknik Elektro",Bandung,Full-time,3000000.0,4200000.0,3600000.0,Teknik,Bandung,0.026315789473684202,0.04384133611691023,0.03608847497089638
Finance Supervisor,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Jakarta Pusat,Full-time,4800000.0,5000000.0,4900000.0,Akuntansi / Keuangan,Jakarta Pusat,0.0736842105263158,0.0605427974947808,0.06635622817229336
SPV Customer Service,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Utara,Full-time,7000000.0,12000000.0,9500000.0,Penjualan / Pemasaran,Jakarta Utara,0.13157894736842107,0.2066805845511482,0.17345750873108265
Recruitment Specialist,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Sumatera Utara,Full-time,7000000.0,9000000.0,8000000.0,Sumber Daya Manusia/Personalia,Sumatera Utara,0.13157894736842107,0.14405010438413363,0.13853317811408614
ADMIN ONLINE SHOP,"Pelayanan,Layanan Pelanggan",Jakarta Utara,Full-time,3500000.0,4900000.0,4200000.0,Pelayanan,Jakarta Utara,0.03947368421052632,0.05845511482254697,0.05005820721769499
Live Streaming Online Shop Host,"Penjualan / Pemasaran,E-commerce",Jakarta Utara,Full-time,3500000.0,4900000.0,4200000.0,Penjualan / Pemasaran,Jakarta Utara,0.03947368421052632,0.05845511482254697,0.05005820721769499
Accounting Staff,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Karawang,Full-time,5500000.0,7000000.0,6250000.0,Akuntansi / Keuangan,Karawang,0.09210526315789475,0.10229645093945719,0.09778812572759021
Accounting Leader,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Karawang,Full-time,7000000.0,9000000.0,8000000.0,Akuntansi / Keuangan,Karawang,0.13157894736842107,0.14405010438413363,0.13853317811408614
Public Relations,"Seni/Media/Komunikasi,Hubungan Masyarakat",Jakarta Barat,Full-time,4500000.0,6300000.0,5400000.0,Seni/Media/Komunikasi,Jakarta Barat,0.06578947368421054,0.08768267223382045,0.07799767171129221
Videographer Photographer,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jakarta Barat,Full-time,5000000.0,7000000.0,6000000.0,Seni/Media/Komunikasi,Jakarta Barat,0.07894736842105263,0.10229645093945719,0.0919674039580908
Dokter Gigi,"Layanan Kesehatan,Diagnosa/Lainnya",Jakarta Barat,Full-time,5000000.0,7000000.0,6000000.0,Layanan Kesehatan,Jakarta Barat,0.07894736842105263,0.10229645093945719,0.0919674039580908
Manager Outlet,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran","Tangerang,Jakarta Barat",Full-time,4000000.0,6000000.0,5000000.0,Hotel/Restoran,Tangerang,0.052631578947368425,0.08141962421711899,0.06868451688009314
.Net Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,10000000.0,20000000.0,15000000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.21052631578947367,0.37369519832985393,0.30151338766006985
"Bancassurance Life Consultant (Pekalongan, Cilacap, Tegal, Purwokerto)","Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Cilacap,Pekalongan,Purwokerto,Tegal",Full-time,3000000.0,5000000.0,4000000.0,Penjualan / Pemasaran,Cilacap,0.026315789473684202,0.0605427974947808,0.04540162980209545
Copy Writer,"Seni/Media/Komunikasi,Periklanan",Surabaya,Full-time,3750000.0,5250000.0,4500000.0,Seni/Media/Komunikasi,Surabaya,0.046052631578947366,0.06576200417536535,0.057043073341094284
Junior Marketing,"Penjualan / Pemasaran,Digital Marketing",Jakarta Utara,Full-time,2500000.0,4500000.0,3500000.0,Penjualan / Pemasaran,Jakarta Utara,0.013157894736842098,0.0501043841336117,0.03376018626309662
Sales Team Leader,"Penjualan / Pemasaran,Telesales/Telemarketing",Kota Banda Aceh,Full-time,5500000.0,7250000.0,6375000.0,Penjualan / Pemasaran,Kota Banda Aceh,0.09210526315789475,0.10751565762004175,0.10069848661233993
Chef de Partie,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Jakarta Utara,Full-time,4000000.0,5600000.0,4800000.0,Hotel/Restoran,Jakarta Utara,0.052631578947368425,0.07306889352818371,0.06402793946449359
Staff Tax Accounting,"Akuntansi / Keuangan,Audit Pajak",Jakarta Utara,Full-time,4000000.0,5600000.0,4800000.0,Akuntansi / Keuangan,Jakarta Utara,0.052631578947368425,0.07306889352818371,0.06402793946449359
Staff Accounting,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Jakarta Utara,Full-time,4000000.0,5600000.0,4800000.0,Akuntansi / Keuangan,Jakarta Utara,0.052631578947368425,0.07306889352818371,0.06402793946449359
HR GA Staff,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Jakarta Selatan,Full-time,5000000.0,6000000.0,5500000.0,Sumber Daya Manusia/Personalia,Jakarta Selatan,0.07894736842105263,0.08141962421711899,0.08032596041909196
"Japanese Bilingual Specialist - N1/N2 Manila, Philippines","Pelayanan,Layanan Pelanggan",Metro Manila,Full-time,23500000.0,33200000.0,28350000.0,Pelayanan,Metro Manila,0.5657894736842105,0.6492693110647182,0.6123399301513387
Sales / Marketing Online,"Penjualan / Pemasaran,Penjualan Ritel",Bekasi,Full-time,3500000.0,6000000.0,4750000.0,Penjualan / Pemasaran,Bekasi,0.03947368421052632,0.08141962421711899,0.0628637951105937
Business Development Manager,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Raya,Full-time,8000000.0,10000000.0,9000000.0,Penjualan / Pemasaran,Jakarta Raya,0.15789473684210528,0.16492693110647183,0.1618160651920838
Sales Marketing EF English First Jakarta,"Penjualan / Pemasaran,Penjualan - Korporasi","Jakarta Barat,Jakarta Utara",Full-time,4200000.0,8000000.0,6100000.0,Penjualan / Pemasaran,Jakarta Barat,0.057894736842105256,0.1231732776617954,0.09429569266589058
Manajemen Perusahaan,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Jakarta Utara,Full-time,3000000.0,4000000.0,3500000.0,Akuntansi / Keuangan,Jakarta Utara,0.026315789473684202,0.039665970772442584,0.03376018626309662
Distributor Sales Representative Passenger Vehicle Lubricant (DSR PVL),"Penjualan / Pemasaran,Penjualan Ritel",Tuban,Full-time,2000000.0,2550000.0,2275000.0,Penjualan / Pemasaran,Tuban,0.0,0.009394572025052193,0.005238649592549473
Vector Cartoon Illustrator for explainer video,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jawa Timur,Full-time,4000000.0,5000000.0,4500000.0,Seni/Media/Komunikasi,Jawa Timur,0.052631578947368425,0.0605427974947808,0.057043073341094284
Sales Marketing EF English First Puri Indah,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Barat,Full-time,4200000.0,8000000.0,6100000.0,Penjualan / Pemasaran,Jakarta Barat,0.057894736842105256,0.1231732776617954,0.09429569266589058
Laravel developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Batam,Full-time,5500000.0,7500000.0,6500000.0,Komputer/Teknologi Informasi,Batam,0.09210526315789475,0.11273486430062629,0.10360884749708962
Programmer React Native,"Pendidikan/Pelatihan,Pendidikan",Banten,Full-time,7000000.0,9000000.0,8000000.0,Pendidikan/Pelatihan,Banten,0.13157894736842107,0.14405010438413363,0.13853317811408614
APPLICATION DEVELOPMENT,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Yogyakarta,Contract,3000000.0,4200000.0,3600000.0,Komputer/Teknologi Informasi,Yogyakarta,0.026315789473684202,0.04384133611691023,0.03608847497089638
Chief Cutting,"Manufaktur,Manufaktur",Denpasar,Full-time,5000000.0,6000000.0,5500000.0,Manufaktur,Denpasar,0.07894736842105263,0.08141962421711899,0.08032596041909196
Sales EF English First Tangerang,"Penjualan / Pemasaran,Telesales/Telemarketing",Banten,Full-time,4000000.0,8000000.0,6000000.0,Penjualan / Pemasaran,Banten,0.052631578947368425,0.1231732776617954,0.0919674039580908
Marketing Sales Manager,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Jakarta Raya,Bekasi,Bogor,Depok,Tangerang",Full-time,12000000.0,24000000.0,18000000.0,Penjualan / Pemasaran,Jakarta Raya,0.2631578947368421,0.4572025052192067,0.3713620488940628
ERP Engineering,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Jakarta Raya,Sulawesi Tengah",Contract,10000000.0,15000000.0,12500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.21052631578947367,0.26931106471816285,0.24330616996507565
Programmer Back End (NodeJS),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Bogor,Full-time,6000000.0,7500000.0,6750000.0,Komputer/Teknologi Informasi,Bogor,0.10526315789473684,0.11273486430062629,0.10942956926658906
Tailor / Seamstress professionals for garment production,"Manufaktur,Manufaktur",Jakarta Utara,Full-time,5000000.0,7000000.0,6000000.0,Manufaktur,Jakarta Utara,0.07894736842105263,0.10229645093945719,0.0919674039580908
Manager Marketing / Manager Sales Property,"Penjualan / Pemasaran,Penjualan - Korporasi",Jawa Barat,Full-time,6000000.0,10000000.0,8000000.0,Penjualan / Pemasaran,Jawa Barat,0.10526315789473684,0.16492693110647183,0.13853317811408614
Senior Frontend Software Engineer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Bali,Jakarta Raya,Jawa Barat,Jawa Timur",Full-time,12000000.0,24000000.0,18000000.0,Komputer/Teknologi Informasi,Bali,0.2631578947368421,0.4572025052192067,0.3713620488940628
Marketing Manager,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Raya,Full-time,15000000.0,18000000.0,16500000.0,Penjualan / Pemasaran,Jakarta Raya,0.34210526315789475,0.3319415448851775,0.33643771827706637
Associate Marketing Manager,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",Jakarta Raya,Full-time,6000000.0,12000000.0,9000000.0,Penjualan / Pemasaran,Jakarta Raya,0.10526315789473684,0.2066805845511482,0.1618160651920838
Music Teacher,"Pendidikan/Pelatihan,Pendidikan",Badung,Full-time,6000000.0,8400000.0,7200000.0,Pendidikan/Pelatihan,Badung,0.10526315789473684,0.1315240083507307,0.11990686845168799
Mandarin Speaking HR Training and Developement Staff / Supervisor 培训专员/主管,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Jakarta Raya,Full-time,12000000.0,17000000.0,14500000.0,Sumber Daya Manusia/Personalia,Jakarta Raya,0.2631578947368421,0.3110647181628393,0.289871944121071
COMMUNITY MANAGER IN HOUSE WHOLESALE BUSINESS DEVELOPER,"Penjualan / Pemasaran,Digital Marketing",Bali,Full-time,6000000.0,8000000.0,7000000.0,Penjualan / Pemasaran,Bali,0.10526315789473684,0.1231732776617954,0.11525029103608847
Editor (Motion Graphic) Videographer,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jakarta Barat,Full-time,3500000.0,4500000.0,4000000.0,Seni/Media/Komunikasi,Jakarta Barat,0.03947368421052632,0.0501043841336117,0.04540162980209545
Mandarin Speaker Secretary,"Sumber Daya Manusia/Personalia,Sekretaris","Jakarta Raya,Tangerang",Full-time,7000000.0,12000000.0,9500000.0,Sumber Daya Manusia/Personalia,Jakarta Raya,0.13157894736842107,0.2066805845511482,0.17345750873108265
Mobile Application Programmer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Jakarta Raya,Bandung",Full-time,4000000.0,5600000.0,4800000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.052631578947368425,0.07306889352818371,0.06402793946449359
Full Stack Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Badung,Full-time,5000000.0,8000000.0,6500000.0,Komputer/Teknologi Informasi,Badung,0.07894736842105263,0.1231732776617954,0.10360884749708962
Finance - cashier (mandarin speaking),"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Jakarta Barat,Jakarta Selatan",Full-time,6000000.0,10000000.0,8000000.0,Akuntansi / Keuangan,Jakarta Barat,0.10526315789473684,0.16492693110647183,0.13853317811408614
Junior PHP Web Developers / Programmers (Bali),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Kuta,Full-time,4000000.0,6000000.0,5000000.0,Komputer/Teknologi Informasi,Kuta,0.052631578947368425,0.08141962421711899,0.06868451688009314
Senior System Engineer,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Jakarta Pusat,Full-time,6000000.0,10000000.0,8000000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.10526315789473684,0.16492693110647183,0.13853317811408614
.Net Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Barat,Contract,4000000.0,7500000.0,5750000.0,Komputer/Teknologi Informasi,Jakarta Barat,0.052631578947368425,0.11273486430062629,0.0861466821885914
Java Developer (Spring Framework),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Contract,7000000.0,14000000.0,10500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.13157894736842107,0.24843423799582462,0.19674039580908032
ETL Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Pusat,Contract,9000000.0,13000000.0,11000000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.1842105263157895,0.22755741127348642,0.20838183934807913
Front End Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Contract,7000000.0,13000000.0,10000000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.13157894736842107,0.22755741127348642,0.1850989522700815
Design Engineering,"Penjualan / Pemasaran,Penjualan Ritel",Jakarta Selatan,Contract,4500000.0,5000000.0,4750000.0,Penjualan / Pemasaran,Jakarta Selatan,0.06578947368421054,0.0605427974947808,0.0628637951105937
Sales Executive (Denpasar / Bali),"Bangunan/Konstruksi,Arsitek/Desain Interior",Denpasar,Full-time,4500000.0,7500000.0,6000000.0,Bangunan/Konstruksi,Denpasar,0.06578947368421054,0.11273486430062629,0.0919674039580908
Account Manager,"Penjualan / Pemasaran,Penjualan - Korporasi",Yogyakarta,Full-time,3500000.0,4000000.0,3750000.0,Penjualan / Pemasaran,Yogyakarta,0.03947368421052632,0.039665970772442584,0.03958090803259604
Field Collector Area Manado,"Akuntansi / Keuangan,Perbankan / Jasa Finansial",Manado,Contract,2300000.0,3220000.0,2760000.0,Akuntansi / Keuangan,Manado,0.00789473684210526,0.02338204592901879,0.016530849825378342
Field Collector Area SAMARINDA,"Akuntansi / Keuangan,Perbankan / Jasa Finansial",Samarinda,Contract,3180000.0,4452000.0,3816000.0,Akuntansi / Keuangan,Samarinda,0.031052631578947366,0.04910229645093946,0.04111757857974389
Field Collector Area SOLO,"Akuntansi / Keuangan,Perbankan / Jasa Finansial",Surakarta,Contract,2500000.0,3500000.0,3000000.0,Akuntansi / Keuangan,Surakarta,0.013157894736842098,0.029227557411273482,0.022118742724097785
Field Collector Area SEMARANG,"Akuntansi / Keuangan,Perbankan / Jasa Finansial",Semarang,Contract,2200000.0,3080000.0,2640000.0,Akuntansi / Keuangan,Semarang,0.005263157894736838,0.020459290187891437,0.01373690337601862
Java Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,8000000.0,16000000.0,12000000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.15789473684210528,0.29018789144050106,0.23166472642607683
R D,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Demak,Full-time,2800000.0,3000000.0,2900000.0,Penjualan / Pemasaran,Demak,0.02105263157894737,0.01878914405010438,0.01979045401629801
Software Developers,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,4000000.0,5600000.0,4800000.0,Komputer/Teknologi Informasi,Surabaya,0.052631578947368425,0.07306889352818371,0.06402793946449359
Design Grafis,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jayapura,Full-time,3000000.0,4200000.0,3600000.0,Seni/Media/Komunikasi,Jayapura,0.026315789473684202,0.04384133611691023,0.03608847497089638
Back-end Engineer (Python or PHP),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Yogyakarta,Full-time,7000000.0,12000000.0,9500000.0,Komputer/Teknologi Informasi,Yogyakarta,0.13157894736842107,0.2066805845511482,0.17345750873108265
IT Software Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Binjai,Full-time,3000000.0,4200000.0,3600000.0,Komputer/Teknologi Informasi,Binjai,0.026315789473684202,0.04384133611691023,0.03608847497089638
GURU BAHASA INGGRIS / ENGLISH TEACHER,"Pendidikan/Pelatihan,Pendidikan",Cilacap,Full-time,4000000.0,4500000.0,4250000.0,Pendidikan/Pelatihan,Cilacap,0.052631578947368425,0.0501043841336117,0.051222351571594875
Sales Supervisor,"Penjualan / Pemasaran,Penjualan Ritel",Bali,Full-time,4000000.0,4500000.0,4250000.0,Penjualan / Pemasaran,Bali,0.052631578947368425,0.0501043841336117,0.051222351571594875
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Kalimantan Utara,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Kalimantan Utara,0.026315789473684202,0.06471816283924844,0.047729918509895226
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Banyuwangi,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Banyuwangi,0.026315789473684202,0.06471816283924844,0.047729918509895226
Business Analyst for Asset Management,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Timur,Full-time,10000000.0,14000000.0,12000000.0,Komputer/Teknologi Informasi,Jakarta Timur,0.21052631578947367,0.24843423799582462,0.23166472642607683
Robotic/coding Teacher,"Pendidikan/Pelatihan,Pendidikan",Medan,Part-time,4500000.0,7000000.0,5750000.0,Pendidikan/Pelatihan,Medan,0.06578947368421054,0.10229645093945719,0.0861466821885914
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Jakarta Utara,Full-time,3500000.0,5500000.0,4500000.0,Penjualan / Pemasaran,Jakarta Utara,0.03947368421052632,0.07098121085594991,0.057043073341094284
Product Planning Development,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Utara,Full-time,6000000.0,8000000.0,7000000.0,Penjualan / Pemasaran,Jakarta Utara,0.10526315789473684,0.1231732776617954,0.11525029103608847
Marketing (Jambi),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jambi,Full-time,2000000.0,2600000.0,2300000.0,Penjualan / Pemasaran,Jambi,0.0,0.010438413361169102,0.0058207217694994165
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Surakarta,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Surakarta,0.026315789473684202,0.06471816283924844,0.047729918509895226
IOS Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,4300000.0,6020000.0,5160000.0,Komputer/Teknologi Informasi,Surabaya,0.060526315789473685,0.08183716075156575,0.07240977881257274
Senior Java SE Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,8000000.0,12000000.0,10000000.0,Komputer/Teknologi Informasi,Surabaya,0.15789473684210528,0.2066805845511482,0.1850989522700815
Assistant Sales Manager (Mandarin Speaker) Pekanbaru,"Lainnya,Jurnalis/Editor",Pekanbaru,Full-time,7000000.0,9800000.0,8400000.0,Lainnya,Pekanbaru,0.13157894736842107,0.16075156576200417,0.1478463329452852
Frontend Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,7000000.0,10000000.0,8500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.13157894736842107,0.16492693110647183,0.15017462165308498
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Lhokseumawe,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Lhokseumawe,0.026315789473684202,0.06471816283924844,0.047729918509895226
Java (Liferay) Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,6000000.0,9000000.0,7500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.10526315789473684,0.14405010438413363,0.12689173457508732
DIGITAL MARKETING,"Penjualan / Pemasaran,Digital Marketing",Jakarta Utara,Full-time,6000000.0,8000000.0,7000000.0,Penjualan / Pemasaran,Jakarta Utara,0.10526315789473684,0.1231732776617954,0.11525029103608847
Deputy Channel Manager (Mandarin Speaker),"Penjualan / Pemasaran,Telesales/Telemarketing",Surabaya,Full-time,8000000.0,15000000.0,11500000.0,Penjualan / Pemasaran,Surabaya,0.15789473684210528,0.26931106471816285,0.220023282887078
.Net Core Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Contract,7000000.0,14000000.0,10500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.13157894736842107,0.24843423799582462,0.19674039580908032
